scale_name,url,notes,signature
A Minor Scale,https://pulse.berklee.edu/scales/a-minor-scale.html,A B C D E F G,0 flats or sharps
Bb Minor Scale,https://pulse.berklee.edu/scales/b-flat-minor-scale.html,Bb C Db Eb F Gb Ab,5 flats
B Minor Scale,https://pulse.berklee.edu/scales/b-minor-scale.html,B C# D E F# G A,2 sharps
C Minor Scale,https://pulse.berklee.edu/scales/c-minor-scale.html,C D Eb F G Ab Bb,3 flats
C# Minor Scale,https://pulse.berklee.edu/scales/c-sharp-minor-scale.html,C# D# E F# G# A B,4 sharps
D Minor Scale,https://pulse.berklee.edu/scales/d-minor-scale.html,D E F G A Bb C,1 flat
D# Minor Scale,https://pulse.berklee.edu/scales/d-sharp-minor-scale.html,D# E# F# G# A# B C#,6 sharps
E Minor Scale,https://pulse.berklee.edu/scales/e-minor-scale.html,E F# G A B C D,1 sharp
F Minor Scale,https://pulse.berklee.edu/scales/f-minor-scale.html,F G Ab Bb C Db Eb,4 flats
F# Minor Scale,https://pulse.berklee.edu/scales/f-sharp-minor-scale.html,F# G# A B C# D E,3 sharps
G Minor Scale,https://pulse.berklee.edu/scales/g-minor-scale.html,G A Bb C D Eb F,2 flats
G# Minor Scale,https://pulse.berklee.edu/scales/g-sharp-minor-scale.html,G# A# B C# D# E F#,5 sharps
A Harmonic Minor Scale,https://pulse.berklee.edu/scales/a-harmonic-minor-scale.html,A B C D E F G#,0 flats or sharps
Bb Harmonic Minor Scale,https://pulse.berklee.edu/scales/b-flat-harmonic-minor-scale.html,Bb C Db Eb F Gb A,5 flats
B Harmonic Minor Scale,https://pulse.berklee.edu/scales/b-harmonic-minor-scale.html,B C# D E F# G A#,2 sharps
C Harmonic Minor Scale,https://pulse.berklee.edu/scales/c-harmonic-minor-scale.html,C D Eb F G Ab B,3 flats
C# Harmonic Minor Scale,https://pulse.berklee.edu/scales/c-sharp-harmonic-minor-scale.html,C# D# E F# G# A B#,4 sharps
D Harmonic Minor Scale,https://pulse.berklee.edu/scales/d-harmonic-minor-scale.html,D E F G A Bb C#,1 flat
D# Harmonic Minor Scale,https://pulse.berklee.edu/scales/d-sharp-harmonic-minor-scale.html,D# E# F# G# A# B C𝄪,6 sharps
E Harmonic Minor Scale,https://pulse.berklee.edu/scales/e-harmonic-minor-scale.html,E F# G A B C D#,1 sharp
F Harmonic Minor Scale,https://pulse.berklee.edu/scales/f-harmonic-minor-scale.html,F G Ab Bb C Db E,4 flats
F# Harmonic Minor Scale,https://pulse.berklee.edu/scales/f-sharp-harmonic-minor-scale.html,F# G# A B C# D E#,3 sharps
G Harmonic Minor Scale,https://pulse.berklee.edu/scales/g-harmonic-minor-scale.html,G A Bb C D Eb F#,2 flats
G# Harmonic Minor Scale,https://pulse.berklee.edu/scales/g-sharp-harmonic-minor-scale.html,G# A# B C# D# E F𝄪,5 sharps
